id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,3882,1,0,,,1,363,0,
2075738,Amazing apartment Mexico City!!!,2339771,Rodrigo,,Cuauhtémoc,19.41909,-99.16043,Entire home/apt,2764,2,73,2022-12-12,0.67,1,271,17,
783080,Nice quiet room in a lovely house!!,1767559,Anna,,La Magdalena Contreras,19.33009,-99.21418,Private room,583,1,2,2022-07-31,0.02,2,303,1,
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000,1,62,2022-11-06,0.46,12,350,12,
783480,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35379,-99.28459,Private room,500,2,27,2019-11-30,0.25,2,361,0,
2083241,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,,Cuauhtémoc,19.4153,-99.16763,Entire home/apt,1823,3,263,2022-12-18,2.62,3,142,36,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,660,3,83,2022-12-10,0.58,2,353,16,
784107,Lovely flat in Roma-Condesa,3126571,Andrea,,Cuauhtémoc,19.41554,-99.17139,Entire home/apt,1653,2,64,2022-11-23,0.56,1,49,6,
61792,Spacious Clean Quiet room (own bath) in Condesa,299558,Roberto,,Cuauhtémoc,19.41083,-99.18057,Private room,1164,2,61,2022-12-03,0.97,2,88,8,
796477,Classic but Modern Apartment in Condesa,4195771,Jair,,Cuauhtémoc,19.41824,-99.1756,Private room,582,5,148,2022-11-30,1.51,1,332,5,
2084093,5 min from CDMX´s airport,10644799,Benito,,Venustiano Carranza,19.43949,-99.08769,Entire home/apt,428,1,579,2022-12-19,5.72,6,358,31,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,2426,4,46,2022-11-25,0.34,2,307,7,
2088218,Private rooms near old Coyoacan center,10659485,Cécile,,Coyoacán,19.34022,-99.15306,Private room,375,2,5,2018-05-15,0.05,1,331,0,
